quarter,industry1,industry2,industry3,total_paid_hours
2011-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.5
2011-Q1,manufacturing,transport equipment,transport equipment,53.4
2011-Q1,manufacturing,other manufacturing industries,other manufacturing industries,49.9
2011-Q1,construction,construction,construction,52.7
2011-Q1,services,wholesale and retail trade,wholesale trade,43.5
2011-Q1,services,wholesale and retail trade,retail trade,43.6
2011-Q1,services,transportation and storage,land transport and supporting services,47.9
2011-Q1,services,transportation and storage,water transport and supporting services,44.6
2011-Q1,services,transportation and storage,air transport and supporting services,44.4
2011-Q1,services,transportation and storage,other transport and storage services,46.8
2011-Q1,services,accommodation and food services,accommodation,45.6
2011-Q1,services,accommodation and food services,food and beverage services,39.7
2011-Q1,services,information and communications,"telecommunications, broadcasting and publishing",40.9
2011-Q1,services,information and communications,it and other information services,41.5
2011-Q1,services,financial and insurance services,financial services,41.5
2011-Q1,services,financial and insurance services,insurance services,40.1
2011-Q1,services,real estate services,real estate services,45.1
2011-Q1,services,professional services,"legal, accounting and management services",40.7
2011-Q1,services,professional services,architectural and engineering services,45.5
2011-Q1,services,professional services,other professional services,43.4
2011-Q1,services,administrative and support services,security and investigation,54.3
2011-Q1,services,administrative and support services,cleaning and landscaping,45.6
2011-Q1,services,administrative and support services,other adminstrative and support services,46.2
2011-Q1,services,"community, social and personal services",public administration and education,41.4
2011-Q1,services,"community, social and personal services",health and social services,42.2
2011-Q1,services,"community, social and personal services","arts, entertainment and recreation",43.2
2011-Q1,services,"community, social and personal services","other community, social and personal services",44.2
2011-Q1,others,others,others,45.6
2011-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",49.1
2011-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",49.2
2011-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",46.3
2011-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",52.5
2011-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47
2011-Q2,manufacturing,transport equipment,transport equipment,52.5
2011-Q2,manufacturing,other manufacturing industries,other manufacturing industries,50
2011-Q2,construction,construction,construction,53
2011-Q2,services,wholesale and retail trade,wholesale trade,43.7
2011-Q2,services,wholesale and retail trade,retail trade,43.8
2011-Q2,services,transportation and storage,land transport and supporting services,48.2
2011-Q2,services,transportation and storage,water transport and supporting services,44.7
2011-Q2,services,transportation and storage,air transport and supporting services,44.1
2011-Q2,services,transportation and storage,other transport and storage services,47.4
2011-Q2,services,accommodation and food services,accommodation,45.8
2011-Q2,services,accommodation and food services,food and beverage services,40
2011-Q2,services,information and communications,"telecommunications, broadcasting and publishing",41.6
2011-Q2,services,information and communications,it and other information services,41.6
2011-Q2,services,financial and insurance services,financial services,41.4
2011-Q2,services,financial and insurance services,insurance services,40
2011-Q2,services,real estate services,real estate services,44.9
2011-Q2,services,professional services,"legal, accounting and management services",40.7
2011-Q2,services,professional services,architectural and engineering services,45.3
2011-Q2,services,professional services,other professional services,43.5
2011-Q2,services,administrative and support services,security and investigation,54.3
2011-Q2,services,administrative and support services,cleaning and landscaping,46.7
2011-Q2,services,administrative and support services,other adminstrative and support services,46.5
2011-Q2,services,"community, social and personal services",public administration and education,41.4
2011-Q2,services,"community, social and personal services",health and social services,42
